"id_ind","id_men","region","age","sexe","etat_matri","alphabet","activite","handicap","poids"
"IND00001","MEN0893","Est",10,2,"Celibataire",1,"Occupe",0,0.956
"IND00002","MEN1316","Nord",3,1,"Celibataire",0,"Occupe",0,1.081
"IND00003","MEN0587","Littoral",38,1,"Marie",1,"Occupe",0,0.838
"IND00004","MEN1042","Nord",21,1,"Marie",1,"Inactif",0,1.034
"IND00005","MEN0132","Nord-Ouest",5,1,"Marie",1,"Occupe",0,1.139
"IND00006","MEN0989","Sud-Ouest",95,2,"Celibataire",1,"Occupe",0,1.174
"IND00007","MEN0530","Extreme-Nord",22,2,"Marie",0,"Occupe",0,1.117
"IND00008","MEN0210","Nord",4,1,"Celibataire",1,"Occupe",0,1.105
"IND00009","MEN0395","Nord-Ouest",95,1,"Celibataire",1,"Inactif",0,0.919
"IND00010","MEN1021","Nord",10,1,"Celibataire",0,"Occupe",0,0.879
"IND00011","MEN0452","Ouest",37,2,"Veuf",1,"Occupe",1,1.199
"IND00012","MEN0176","Nord",28,2,"Marie",0,"Occupe",0,1.049
"IND00013","MEN0964","Sud-Ouest",2,2,"Marie",1,"Occupe",0,0.917
"IND00014","MEN0139","Ouest",95,1,"Marie",1,"Inactif",0,0.989
"IND00015","MEN1246","Extreme-Nord",25,1,"Marie",1,"Occupe",0,0.886
"IND00016","MEN0323","Nord-Ouest",89,2,"Marie",1,"Inactif",0,0.964
"IND00017","MEN1185","Nord",26,2,"Celibataire",1,"Inactif",0,0.958
"IND00018","MEN0558","Littoral",27,1,"Marie",0,"Occupe",0,0.836
"IND00019","MEN0663","Littoral",35,2,"Marie",0,"Occupe",0,1.026
"IND00020","MEN0758","Adamaoua",47,1,"Marie",1,"Inactif",0,0.946
"IND00021","MEN1075","Adamaoua",35,2,"Celibataire",0,"Occupe",0,1.134
"IND00022","MEN0763","Nord-Ouest",38,2,"Celibataire",1,"Chomeur",0,0.92
"IND00023","MEN0249","Centre",95,2,"Celibataire",NA,"Inactif",0,1
"IND00024","MEN1441","Nord",5,2,"Marie",1,"Occupe",0,0.923
"IND00025","MEN0401","Adamaoua",3,1,"Veuf",NA,"Occupe",1,0.869
"IND00026","MEN0863","Sud-Ouest",87,2,"Celibataire",NA,"Occupe",0,1.063
"IND00027","MEN0753","Centre",4,1,"Divorce",1,"Occupe",0,1.095
"IND00028","MEN0029","Centre",20,1,"Celibataire",1,"Occupe",0,1.197
"IND00029","MEN0135","Extreme-Nord",15,2,"Marie",0,"Occupe",0,1.048
"IND00030","MEN1106","Extreme-Nord",24,2,"Celibataire",0,"Occupe",0,0.933
"IND00031","MEN1031","Centre",19,2,"Celibataire",1,"Occupe",0,0.96
"IND00032","MEN0154","Sud",70,2,"Marie",1,"Inactif",0,1.172
"IND00033","MEN0831","Adamaoua",5,2,"Celibataire",NA,"Inactif",0,1.183
"IND00034","MEN1358","Extreme-Nord",45,1,"Celibataire",1,"Occupe",0,0.81
"IND00035","MEN1438","Nord",9,1,"Celibataire",0,"Chomeur",0,0.9
"IND00036","MEN1288","Nord",10,2,"Celibataire",1,"Occupe",0,0.971
"IND00037","MEN1263","Centre",10,1,"Marie",0,"Occupe",0,0.997
"IND00038","MEN1242","Extreme-Nord",81,2,"Marie",0,"Occupe",0,0.88
"IND00039","MEN0718","Sud-Ouest",3,1,"Divorce",1,"Inactif",0,0.964
"IND00040","MEN0726","Littoral",10,2,"Celibataire",1,"Inactif",0,1.084
"IND00041","MEN0590","Extreme Nord",32,1,"Marie",0,"Inactif",0,1.052
"IND00042","MEN0382","Nord-Ouest",60,1,"Marie",0,"Occupe",0,1.168
"IND00043","MEN0999","Centre",7,2,"Celibataire",0,"Inactif",0,1.108
"IND00044","MEN0093","Adamaoua",27,1,"Marie",NA,"Inactif",0,0.878
"IND00045","MEN0767","Sud",7,2,"Marie",1,"Occupe",0,0.864
"IND00046","MEN0911","Nord-Ouest",5,1,"Celibataire",0,"Inactif",0,1.09
"IND00047","MEN0230","Ouest",11,1,"Celibataire",1,"Occupe",0,0.905
"IND00048","MEN0094","Ouest",0,2,"Marie",1,"Occupe",0,1.088
"IND00049","MEN0388","Littoral",50,2,"Marie",0,"Chomeur",0,1.179
"IND00050","MEN0717","Extreme-Nord",2,2,"Celibataire",1,"Occupe",1,1.186
"IND00051","MEN0390","Nord-Ouest",14,1,"Celibataire",1,"Occupe",0,0.829
"IND00052","MEN0846","Est",2,1,"Marie",1,"Chomeur",0,0.983
"IND00053","MEN0472","Centre",5,1,"Marie",1,"Occupe",0,0.929
"IND00054","MEN0022","Nord-Ouest",4,2,"Marie",1,"Occupe",0,0.902
"IND00055","MEN0933","Nord-Ouest",13,2,"Marie",0,"Chomeur",0,0.976
"IND00056","MEN1063","Est",21,2,"Celibataire",1,"Inactif",0,0.91
"IND00057","MEN0036","Littoral",25,1,"Celibataire",1,"Occupe",0,0.888
"IND00058","MEN0805","Littoral",26,2,"Marie",0,"Occupe",0,1.005
"IND00059","MEN1475","Ouest",14,2,"Celibataire",1,"Occupe",0,0.817
"IND00060","MEN1397","Nord",29,2,"Marie",1,"Inactif",0,1.015
"IND00061","MEN0426","Extreme Nord",8,2,"Marie",1,"Occupe",0,0.936
"IND00062","MEN0487","Nord",30,2,"Marie",1,"Inactif",0,0.894
"IND00063","MEN1317","Nord-Ouest",53,1,"Marie",1,"Occupe",0,0.864
"IND00064","MEN0110","Extreme Nord",45,2,"Celibataire",1,"Occupe",0,1.146
"IND00065","MEN0041","Centre",46,1,"Marie",0,"Inactif",0,0.934
"IND00066","MEN1420","Nord",9,2,"Celibataire",1,"Occupe",0,0.83
"IND00067","MEN0819","Adamaoua",5,1,"Marie",0,"Occupe",0,1.004
"IND00068","MEN1228","Adamaoua",20,2,"Marie",1,"Occupe",0,1.147
"IND00069","MEN0500","Ouest",5,1,"Celibataire",1,"Inactif",0,0.884
"IND00070","MEN0672","Centre",33,2,"Marie",1,"Chomeur",0,1.139
"IND00071","MEN1363","Sud-Ouest",2,2,"Celibataire",1,"Occupe",0,0.956
"IND00072","MEN0730","Centre",45,2,"Marie",1,"Occupe",1,1.004
"IND00073","MEN0969","Adamaoua",86,2,"Marie",1,"Occupe",0,0.815
"IND00074","MEN0888","Sud-Ouest",5,1,"Marie",1,"Inactif",0,1.113
"IND00075","MEN0968","Ouest",40,1,"Celibataire",NA,"Inactif",0,1.126
"IND00076","MEN0912","Sud",41,2,"Celibataire",1,"Occupe",0,1.008
"IND00077","MEN1374","Ouest",14,1,"Celibataire",1,"Inactif",0,0.808
"IND00078","MEN0507","Sud-Ouest",20,2,"Veuf",1,"Occupe",0,0.815
"IND00079","MEN1129","Nord",14,1,"Marie",1,"Inactif",1,1.083
"IND00080","MEN0195","Centre",34,1,"Marie",1,"Occupe",0,1.061
"IND00081","MEN1325","Est",70,1,"Divorce",0,"Occupe",0,1.101
"IND00082","MEN1038","Centre",35,1,"Marie",1,"Chomeur",0,0.983
