region,region_code,departement,arrondissement,ville_canton
Adamaoua,AD,Djerem,Ngaoundal,Beka Gotto
Adamaoua,AD,Djerem,Ngaoundal,Lamidat De Tibati
Adamaoua,AD,Djerem,Ngaoundal,Mbarnang
Adamaoua,AD,Djerem,Ngaoundal,Ngaoundal
Adamaoua,AD,Djerem,Ngaoundal,Ngaoundal Viile
Adamaoua,AD,Djerem,Ngaoundal,Ngaoundal Ville
Adamaoua,AD,Djerem,Tibati,Lamidat De Tibati
Adamaoua,AD,Djerem,Tibati,Meidjamba
Adamaoua,AD,Djerem,Tibati,Tibati Ville
Adamaoua,AD,Faro Et Deo,Galim-tignere,Galim-tignere Ville
Adamaoua,AD,Faro Et Deo,Galim-tignere,Lamidat Galim-tignere
Adamaoua,AD,Faro Et Deo,Galim-tignere,Lamidat Lompta
Adamaoua,AD,Faro Et Deo,Kontcha,Kontcha Ville
Adamaoua,AD,Faro Et Deo,Kontcha,Lamidat Dow Deo
Adamaoua,AD,Faro Et Deo,Kontcha,Lamidat Kontcha
Adamaoua,AD,Faro Et Deo,Mayo-baleo,Lamidat Alme
Adamaoua,AD,Faro Et Deo,Mayo-baleo,Lamidat Gadjiwan
Adamaoua,AD,Faro Et Deo,Mayo-baleo,Lamidat Mayo Baleo
Adamaoua,AD,Faro Et Deo,Mayo-baleo,Ville Mayo Baleo
Adamaoua,AD,Faro Et Deo,Tignere,Lamidat Tignere
Adamaoua,AD,Faro Et Deo,Tignere,Tignere Ville
Adamaoua,AD,Mayo-banyo,Bankim,Atta
Adamaoua,AD,Mayo-banyo,Bankim,Bakim Rural
Adamaoua,AD,Mayo-banyo,Bankim,Bakim Ville
Adamaoua,AD,Mayo-banyo,Bankim,Bandam
Adamaoua,AD,Mayo-banyo,Bankim,Bankim Rural
Adamaoua,AD,Mayo-banyo,Bankim,Canton De Atta
Adamaoua,AD,Mayo-banyo,Bankim,Canton De Nyamboya
Adamaoua,AD,Mayo-banyo,Bankim,Nyamboya
Adamaoua,AD,Mayo-banyo,Bankim,Somie
Adamaoua,AD,Mayo-banyo,Bankim,Songkolong
Adamaoua,AD,Mayo-banyo,Banyo,Lamidat De Banyo
Adamaoua,AD,Mayo-banyo,Banyo,Ville De Banyo
Adamaoua,AD,Mayo-banyo,Mayo-darley,Lamidat De Banyo
Adamaoua,AD,Mayo-banyo,Mayo-darley,Mayo-darle Ville
Adamaoua,AD,Mbere,Dir,Canton De Bagodo
Adamaoua,AD,Mbere,Dir,Canton De Dir
Adamaoua,AD,Mbere,Dir,Canton De Kalaldi
Adamaoua,AD,Mbere,Dir,Dir Ville
Adamaoua,AD,Mbere,Djohong,Djohong
Adamaoua,AD,Mbere,Djohong,Djohong Ville
Adamaoua,AD,Mbere,Djohong,Lamidat De Djohong
Adamaoua,AD,Mbere,Meiganga,Canton De Meiganga
Adamaoua,AD,Mbere,Meiganga,Lamidat De Lokoti
Adamaoua,AD,Mbere,Meiganga,Mboula
Adamaoua,AD,Mbere,Meiganga,Meiganga Ville
Adamaoua,AD,Mbere,Ngaoui,Lamidat De Djohong
Adamaoua,AD,Mbere,Ngaoui,Ngaoui_ville
Adamaoua,AD,Vina,Belel,Belel Ville
Adamaoua,AD,Vina,Belel,Lamidat De Ngaoundere
Adamaoua,AD,Vina,Martap,Lamidat De Ngaoundere
Adamaoua,AD,Vina,Martap,Martap Ville
Adamaoua,AD,Vina,Mbe,Lamidat De Mbe
Adamaoua,AD,Vina,Mbe,Mbe Ville
Adamaoua,AD,Vina,Nganha,Lamidat De Ngaoundere
Adamaoua,AD,Vina,Nganha,Nganha Ville
Adamaoua,AD,Vina,Ngaoundere 1,Lamidat De Ngaoundere
Adamaoua,AD,Vina,Ngaoundere 1,Ngaoundere Ville
Adamaoua,AD,Vina,Ngaoundere 2,Lamidat De Ngaoundere
Adamaoua,AD,Vina,Ngaoundere 2,Ngaoudere 2 Ville
Adamaoua,AD,Vina,Ngaoundere 2,Ngaoundere Ville
Adamaoua,AD,Vina,Ngaoundere 3,Canton De Ngaoundere
Adamaoua,AD,Vina,Ngaoundere 3,Lamidat De Ngaoundere
Adamaoua,AD,Vina,Ngaoundere 3,Ngaoundere Ville
Adamaoua,AD,Vina,Nyambaka,Lamidat De Ngaoundere
Adamaoua,AD,Vina,Nyambaka,Nyambaka Ville
Centre,CE,Haute-sanaga,Bibey,Bibey Rural
Centre,CE,Haute-sanaga,Bibey,Bibey Ville
Centre,CE,Haute-sanaga,Bibey,Metep
Centre,CE,Haute-sanaga,Lembe-yezoum,Lembe Yezoum Ville
Centre,CE,Haute-sanaga,Lembe-yezoum,Lembe-yezoum Rural
Centre,CE,Haute-sanaga,Lembe-yezoum,Lembe-yezoum Ville
Centre,CE,Haute-sanaga,Lembe-yezoum,Simbane
Centre,CE,Haute-sanaga,Lembe-yezoum,Zoa
Centre,CE,Haute-sanaga,Mbandjock,Mbandjock Ville
Centre,CE,Haute-sanaga,Mbandjock,Mekomba
Centre,CE,Haute-sanaga,Mbandjock,Ndjore
Centre,CE,Haute-sanaga,Mbandjock,Ndo
Centre,CE,Haute-sanaga,Minta,Groupement Villages Autonomes
